[14, 81, 32, 13, 31, 21, 82, 72, 76, 22, 12, 78, 5, 28, 54, 22, 59, 54, 10, 59]
[14, 32, 81, 13, 31, 21, 82, 72, 76, 22, 12, 78, 5, 28, 54, 22, 59, 54, 10, 59]
[14, 32, 13, 81, 31, 21, 82, 72, 76, 22, 12, 78, 5, 28, 54, 22, 59, 54, 10, 59]
[14, 32, 13, 31, 81, 21, 82, 72, 76, 22, 12, 78, 5, 28, 54, 22, 59, 54, 10, 59]
[14, 32, 13, 31, 21, 81, 82, 72, 76, 22, 12, 78, 5, 28, 54, 22, 59, 54, 10, 59]
[14, 32, 13, 31, 21, 81, 72, 82, 76, 22, 12, 78, 5, 28, 54, 22, 59, 54, 10, 59]
[14, 32, 13, 31, 21, 81, 72, 76, 82, 22, 12, 78, 5, 28, 54, 22, 59, 54, 10, 59]
[14, 32, 13, 31, 21, 81, 72, 76, 22, 82, 12, 78, 5, 28, 54, 22, 59, 54, 10, 59]
[14, 32, 13, 31, 21, 81, 72, 76, 22, 12, 82, 78, 5, 28, 54, 22, 59, 54, 10, 59]
[14, 32, 13, 31, 21, 81, 72, 76, 22, 12, 78, 82, 5, 28, 54, 22, 59, 54, 10, 59]
[14, 32, 13, 31, 21, 81, 72, 76, 22, 12, 78, 5, 82, 28, 54, 22, 59, 54, 10, 59]
[14, 32, 13, 31, 21, 81, 72, 76, 22, 12, 78, 5, 28, 82, 54, 22, 59, 54, 10, 59]
[14, 32, 13, 31, 21, 81, 72, 76, 22, 12, 78, 5, 28, 54, 82, 22, 59, 54, 10, 59]
[14, 32, 13, 31, 21, 81, 72, 76, 22, 12, 78, 5, 28, 54, 22, 82, 59, 54, 10, 59]
[14, 32, 13, 31, 21, 81, 72, 76, 22, 12, 78, 5, 28, 54, 22, 59, 82, 54, 10, 59]
[14, 32, 13, 31, 21, 81, 72, 76, 22, 12, 78, 5, 28, 54, 22, 59, 54, 82, 10, 59]
[14, 32, 13, 31, 21, 81, 72, 76, 22, 12, 78, 5, 28, 54, 22, 59, 54, 10, 82, 59]
[14, 32, 13, 31, 21, 81, 72, 76, 22, 12, 78, 5, 28, 54, 22, 59, 54, 10, 59, 82]
[14, 13, 32, 31, 21, 81, 72, 76, 22, 12, 78, 5, 28, 54, 22, 59, 54, 10, 59, 82]
[14, 13, 31, 32, 21, 81, 72, 76, 22, 12, 78, 5, 28, 54, 22, 59, 54, 10, 59, 82]
